359452,172461,51.44967,-2.58489
358998,177708,51.49682,-2.59203
351581,178116,51.49989,-2.69892
361094,180919,51.52583,-2.5622
357832,170636,51.43314,-2.60798
359609,172383,51.44898,-2.58262
359439,172371,51.44886,-2.58506
358787,171420,51.44026,-2.59434
359714,172455,51.44964,-2.58112
357692,174137,51.46461,-2.61042
359206,174527,51.46823,-2.58867
360892,173378,51.45802,-2.56428
358467,174542,51.46831,-2.59931
351816,179571,51.513,-2.69574
352957,176373,51.48435,-2.67887
360773,174420,51.46738,-2.5661

358652,172387,51.44895,-2.59639
358897,172346,51.4486,-2.59286

358999,172932,51.45387,-2.59146
359185,173055,51.45499,-2.5888
357263,172164,51.44684,-2.61635
358471,172354,51.44864,-2.59899
357896,172407,51.44907,-2.60727
357488,172426,51.44921,-2.61315
359522,172780,51.45255,-2.58392
357149,172221,51.44734,-2.618
357815,172520,51.45008,-2.60845
358986,172742,51.45217,-2.59163
351215,178625,51.50444,-2.70427
359699,172663,51.45151,-2.58136
357955,172471,51.44965,-2.60643
358940,172811,51.45278,-2.5923
357995,172432,51.44931,-2.60585
358815,172311,51.44828,-2.59404
358252,172196,51.4472,-2.60213
359337,172895,51.45357,-2.58659
360962,175241,51.47478,-2.56347
361032,175281,51.47514,-2.56247
360959,175226,51.47464,-2.56352
360095,175841,51.48011,-2.57603
360216,175821,51.47994,-2.57428
360295,175649,51.4784,-2.57312
360325,175607,51.47802,-2.57269
360678,175368,51.4759,-2.56758
360458,174994,51.47252,-2.5707
363264,175190,51.47447,-2.53032
364370,175083,51.47358,-2.51439
364361,175068,51.47345,-2.51451
364339,174870,51.47166,-2.51481
364296,174590,51.46914,-2.5154

363077,175580,51.47797,-2.53305
363083,175592,51.47808,-2.53297
363394,175420,51.47655,-2.52847
363420,175456,51.47687,-2.5281
363057,175321,51.47564,-2.53332
363079,175322,51.47565,-2.533
363894,174199,51.4656,-2.52115
363950,173789,51.46192,-2.5203
363885,174228,51.46586,-2.52128
363907,173420,51.4586,-2.52088
363948,173750,51.46157,-2.52033
363865,173238,51.45696,-2.52147
363874,173337,51.45785,-2.52135
363931,173517,51.45947,-2.52055
364379,174148,51.46517,-2.51416
364371,174258,51.46616,-2.51429
357005,176961,51.48996,-2.62065
361477,172686,51.45184,-2.55578
357017,176972,51.49006,-2.62048
359488,177307,51.49325,-2.58493
360337,172854,51.45327,-2.5722
359518,177288,51.49308,-2.58449
360335,172840,51.45314,-2.57222
359569,172840,51.45309,-2.58325
359572,172849,51.45317,-2.5832
358554,172992,51.45438,-2.59787
361201,171446,51.44067,-2.55962
358560,173004,51.45449,-2.59779
360990,171609,51.44212,-2.56267
361239,171533,51.44145,-2.55908
364344,173962,51.4635,-2.51465
361804,170396,51.43127,-2.55083
361320,171168,51.43818,-2.55787
361086,171603,51.44207,-2.56129
355984,174730,51.46982,-2.63508
357035,175070,51.47295,-2.61999
359947,172644,51.45135,-2.57778
359945,172652,51.45142,-2.57781
361536,170935,51.4361,-2.55474
361467,170455,51.43177,-2.55568
362494,171746,51.44345,-2.54104
362514,171783,51.44379,-2.54076
362454,172182,51.44737,-2.54167
361807,172658,51.45161,-2.55103
361733,172595,51.45104,-2.55209
362003,170769,51.43463,-2.548
362350,171204,51.43857,-2.54306
361711,170318,51.43056,-2.55216
